Message,Email,Phone,Country,Schedule On
Test Message 1,test1@gmail.com,9199911111,USA,
Test Message 2,test2@yahoo.co.in,8544485444,INDIA,31-12-2022
Test Message 3,test3@email.in,8787776666,USA,
Test Message 4,test4@email.in,8787776662,INDIA,01-01-2023
Test Message 5,test3email.in,8787776663,USA,
Test Message 6,test5@email.in,8787776664,INDIA,
Test Message 7 Test Message 7 Test Message 7 Test Message 7 Test Message 7 Test Message 7 Test Message 7 Test Message 7 Test Message 7 Test Message 7 Test Message 7 Test Message 7 ,test6@email.in,8787776665,INDIA,
Test Message 8,test7@email.in,8787776667,INDIA,
Test Message 9,test8@email.in,878777668,USA,
Test Message 10,test9@email.in,8787776669,USA,02-01-2023
Test Message 11,test10@email.in,8787776660,INDIA,
Test Message 12,test11@email.in,8787776655,INDIA,
Message,Email,Phone,country,Schedule On
Message,Email,Phone,country,Schedule On
Message,Email,Phone,country,Schedule On
